onset	duration	event_type	blink	message
5020732	16.0	saccade	0.0	
5020750	209.0	fixation	0.0	
5020959	13.0	saccade	0.0	
5020972	256.0	fixation	0.0	
5021229	16.0	saccade	0.0	
5021245	36.0	fixation	0.0	
5021281	19.0	saccade	0.0	
5021301	177.0	fixation	0.0	
5021477	13.0	saccade	0.0	
5021493	471.0	fixation	0.0	
5021965	18.0	saccade	0.0	
5021984	115.0	fixation	0.0	
5022100	18.0	saccade	0.0	
5022117	2039.0	fixation	0.0	
5024157	30.0	saccade	0.0	
5024188	4608.0	fixation	0.0	
5028871				CS
5028835	76.0	blink	1.0	
5028803	165.0	saccade	0.0	
5028987	432.0	fixation	0.0	
5029402	20.0	saccade	0.0	
5029420	163.0	fixation	0.0	
5029584	18.0	saccade	0.0	
5029602	268.0	fixation	0.0	
5029870	6.0	saccade	0.0	
5029877	444.0	fixation	0.0	
5030321	23.0	saccade	0.0	
5030354	1003.0	fixation	0.0	
5031388	155.0	blink	1.0	
5031353	247.0	saccade	0.0	
5031598	810.0	fixation	0.0	
5032406	18.0	saccade	0.0	
5032424	235.0	fixation	0.0	
5032659	11.0	saccade	0.0	
5032672	496.0	fixation	0.0	
5033166	31.0	saccade	0.0	
5033197	193.0	fixation	0.0	
5033391	23.0	saccade	0.0	
5033414	216.0	fixation	0.0	
5033631	10.0	saccade	0.0	
5033641	571.0	fixation	0.0	
5034212	22.0	saccade	0.0	
5034235	312.0	fixation	0.0	
5034548	19.0	saccade	0.0	
5034569	261.0	fixation	0.0	
5034833	13.0	saccade	0.0	
5034848	305.0	fixation	0.0	
5035154	10.0	saccade	0.0	
5035166	236.0	fixation	0.0	
5035404	18.0	saccade	0.0	
5035421	233.0	fixation	0.0	
5035654	14.0	saccade	0.0	
5035668	289.0	fixation	0.0	
5035958	8.0	saccade	0.0	
5035966	296.0	fixation	0.0	
5036263	8.0	saccade	0.0	
5036272	366.0	fixation	0.0	
5036639	26.0	saccade	0.0	
5036666	304.0	fixation	0.0	
5036971	23.0	saccade	0.0	
5036994	1027.0	fixation	0.0	
5038059	158.0	blink	1.0	
5038023	249.0	saccade	0.0	
5038311	254.0	fixation	0.0	
5038524	67.0	saccade	0.0	
5038592	213.0	fixation	0.0	
5038804	87.0	saccade	0.0	
5038893	447.0	fixation	0.0	
5039338	45.0	saccade	0.0	
5039390	345.0	fixation	0.0	
5039730	23.0	saccade	0.0	
5039758	393.0	fixation	0.0	
5040152	36.0	saccade	0.0	
5040189	66.0	fixation	0.0	
5040263	6.0	blink	1.0	
5040253	25.0	saccade	0.0	
5040278	67.0	fixation	0.0	
5040533	22.0	saccade	0.0	
5040555	631.0	fixation	0.0	
5041196	205.0	blink	1.0	
5041186	1100.0	saccade	0.0	
5041478	618.0	fixation	0.0	
5042097	19.0	saccade	0.0	
5042118	5425.0	fixation	0.0	
5047583	408.0	blink	1.0	
5047545	459.0	saccade	0.0	
5048002	385.0	fixation	0.0	
5048458	526.0	blink	1.0	
5048387	608.0	saccade	0.0	
5049165	1691.0	fixation	0.0	
5050925	94.0	saccade	0.0	
5058377				CS
5051020	7942.0	fixation	0.0	
5058991	98.0	blink	1.0	
5058968	163.0	saccade	0.0	
5059148	1758.0	fixation	0.0	
5060889	26.0	saccade	0.0	
5060916	44.0	fixation	0.0	
5060959	33.0	saccade	0.0	
5060992	99.0	fixation	0.0	
5061146	116.0	blink	1.0	
5061091	226.0	saccade	0.0	
5061319	862.0	fixation	0.0	
5062181	32.0	saccade	0.0	
5062213	416.0	fixation	0.0	
5062666	121.0	blink	1.0	
5062635	189.0	saccade	0.0	
5062837	697.0	fixation	0.0	
5063521	42.0	saccade	0.0	
5063564	64.0	fixation	0.0	
5063628	34.0	saccade	0.0	
5063662	215.0	fixation	0.0	
5063932	47.0	blink	1.0	
5063887	137.0	saccade	0.0	
5064024	150.0	fixation	0.0	
5064202	75.0	blink	1.0	
5064167	157.0	saccade	0.0	
5064327	276.0	fixation	0.0	
5064600	22.0	saccade	0.0	
5064622	175.0	fixation	0.0	
5064797	18.0	saccade	0.0	
5064815	229.0	fixation	0.0	
5065044	23.0	saccade	0.0	
5065067	377.0	fixation	0.0	
5065444	28.0	saccade	0.0	
5065473	418.0	fixation	0.0	
5065892	22.0	saccade	0.0	
5065914	177.0	fixation	0.0	
5066091	20.0	saccade	0.0	
5066111	222.0	fixation	0.0	
5066333	21.0	saccade	0.0	
5066354	308.0	fixation	0.0	
5066696	106.0	blink	1.0	
5066665	187.0	saccade	0.0	
5066860	543.0	fixation	0.0	
5067405	24.0	saccade	0.0	
5067428	294.0	fixation	0.0	
5067722	44.0	saccade	0.0	
5067766	113.0	fixation	0.0	
5067879	26.0	saccade	0.0	
5067906	137.0	fixation	0.0	
5068042	24.0	saccade	0.0	
5068067	541.0	fixation	0.0	
5068608	127.0	saccade	0.0	
5068736	188.0	fixation	0.0	
5068923	48.0	saccade	0.0	
5068980	188.0	fixation	0.0	
5069158	52.0	saccade	0.0	
5069218	188.0	fixation	0.0	
5069399	33.0	saccade	0.0	
5069433	294.0	fixation	0.0	
5069774	695.0	blink	1.0	
5069728	840.0	saccade	0.0	
5070567	347.0	fixation	0.0	
5070915	52.0	saccade	0.0	
5070967	572.0	fixation	0.0	
5071539	26.0	saccade	0.0	
5071573	9192.0	fixation	0.0	
5080813	174.0	blink	1.0	
5080759	290.0	saccade	0.0	
5081048	513.0	fixation	0.0	
5081561	12.0	saccade	0.0	
5081573	210.0	fixation	0.0	
5081785	18.0	saccade	0.0	
5081802	241.0	fixation	0.0	
5082043	9.0	saccade	0.0	
5082053	157.0	fixation	0.0	
5082211	17.0	saccade	0.0	
5082228	114.0	fixation	0.0	
5082343	12.0	saccade	0.0	
5082358	195.0	fixation	0.0	
